name,description,address,imageUrl,contactInfo,site,socialLinks,serviceTypes,bairro,regiao,site_status,redes_sociais_status,aceita_plano,acessibilidade,observacoes
Little TEA,"Clínica ABA / Interdisciplinar (psico, fono, TO)","Rua Vergueiro, 1421 - Torre Norte, Sala 1010 - Vila Mariana, São Paulo - SP, 04101-000",,(11) 98924-1939,https://www.littletea.com.br/,https://www.instagram.com/little_tea_sp/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Vila Mariana,Zona Sul,Confirmado,Confirmado,,,Endereço e telefone conferem no site. IG com endereço na bio; handle corrigido (antes: littletea.clinica).
Genial Care • Unidade Paraíso (Vila Mariana),"Rede multidisciplinar (Psicologia ABA, Fono, TO)","Rua Vergueiro, 2.253 - 3º andar - Vila Mariana, São Paulo - SP, 04101-100",,,https://genialcare.com.br/,https://www.instagram.com/genialcare/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Vila Mariana (Paraíso),Zona Sul,Confirmado,Confirmado,,,Endereços oficiais listados na página de endereços.
Genial Care • Unidade Morumbi (Vila Gertrudes),"Rede multidisciplinar (Psicologia ABA, Fono, TO)","Av. das Nações Unidas, 13.797 - Bloco 2 - Conj. 12 e 16 - Vila Gertrudes, São Paulo - SP, 04794-000",,,https://genialcare.com.br/,https://www.instagram.com/genialcare/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Vila Gertrudes,Zona Sul,Confirmado,Confirmado,,,Endereços oficiais listados na página de endereços.
Peróli Saúde,"Clínica multidisciplinar (ABA, fono, TO, fisio, neuropsicologia)","Av. Bosque da Saúde, 1546 – Vila da Saúde – São Paulo – SP, 04142-082",,(11) 5071-0332,https://www.perolisaude.com.br/,https://www.instagram.com/peroli_saude/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Fisioterapia, Psicologia, Neurologia",Vila da Saúde,Zona Sul,Confirmado,Confirmado,,,Endereço e telefone conferem na página de contato. IG validado no site e na bio; handle corrigido (antes: perolisaude).
Espaço Três Neuroreabilitação (Alto da Boa Vista),"Neuroreabilitação infantil (fono, TO, fisio; ABA)","Rua Conde de Itu, 622 - Alto da Boa Vista, São Paulo - SP, 04741-001",,(11) 5687-0581,https://www.espacotres.com.br/,https://www.instagram.com/espacotresneuro/,"Clínica de reabilitação infantil, ABA, Fonoaudiologia, Terapia Ocupacional, Fisioterapia, Neurologia",Alto da Boa Vista,Zona Sul,ok,ok,,,"Site oficial encontrado, mas endereço/telefone não visíveis na página principal; checar página de contato."
Albano's • Unidade ABA (Santo Amaro),Clínica especializada em ABA,"Av. Washington Luís, 1930 - Santo Amaro, São Paulo - SP, 04662-002",,(11) 2615-2720,https://clinicaalbanos.com.br/,https://www.instagram.com/clinicaalbanos/,ABA,Santo Amaro,Zona Sul,Confirmado,Confirmado,,,Endereço/telefone constam na página 'Contatos'.
Albano's • Unidade Convencional (Sabará),Clínica multidisciplinar (infantil),"Av. Nossa Senhora do Sabará, 710 - Jardim Bélgica, São Paulo - SP, 04673-170",,(11) 2615-2720,https://clinicaalbanos.com.br/,https://www.instagram.com/clinicaalbanos/,Clínica multidisciplinar,Jardim Bélgica,Zona Sul,Confirmado,Confirmado,,,Endereço/telefone constam na página 'Contatos'.
Genial Care • Unidade Anália Franco/Carrão,"Rede multidisciplinar (Psicologia ABA, Fono, TO)","Rua Antônio Camardo, 887 - Vila Gomes Cardim, São Paulo - SP, 03309-060",,,https://genialcare.com.br/,https://www.instagram.com/genialcare/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Vila Gomes Cardim (Anália Franco/Carrão),Zona Leste,Confirmado,Confirmado,,,Endereços oficiais listados na página de endereços.
Genial Care • Unidade Tatuapé,"Rede multidisciplinar (Psicologia ABA, Fono, TO)","Rua Coronel Estevam Lopes de Camargo, 89 - Vila Moreira, São Paulo - SP, 03088-050",,,https://genialcare.com.br/,https://www.instagram.com/genialcare/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Vila Moreira (Tatuapé),Zona Leste,Confirmado,Confirmado,,,Endereços oficiais listados na página de endereços.
Instituto TEA • Unidade Anália Franco,"Clínica interdisciplinar (ABA, fono, fisio etc.)","Rua Dona Januária, 384 – Jardim Anália Franco, São Paulo – SP, 03336-055",,(11) 4305-0200,https://institutotea.com.br/,https://www.instagram.com/institutoteaoficial/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Fisioterapia",Jardim Anália Franco,Zona Leste,Confirmado,Confirmado,,,Endereço e telefone conferem no site.
